Jugador,categoria,Partidos,Minutos_jugados,Goles,Asistencias,Paradas,Goles_encajados,Tiros,Tiros_a_ puerta,Precision_tiros,Centros,Centros_ precisos,Precision_centros,Tiros_al palo,Corners_forzados,Faltas_recibidas,Faltas_cometidas,Pases_interceptados,Balones_robados,Balones_robado al_ultimo_hombre,Tarjetas_amarillas,Tarjetas_rojas,Penaltis_cometidos,Penaltis_forzados,Penaltis_lanzados,Penaltis_anotados,Penaltis_parados,Goles_en_propia_meta,Tiros_bloqueados,Errores_en_gol_en_contra,Regates_con_exito,Pasesconexito,Precisionpases,Cornerscolgados,Faltascolgadas,Faltascolgadasprecisas,Faltas directas,Faltasdirectasapuerta,Golesdefalta
Luuk de Jong,4,25,1685,5,1,0,0,47,18,38,3,1,33,3,9,33,24,7,10,0,2,0,0,1,0,0,0,0,1,0,8,18,68,0,0,0,0,0,0
Javi Moyano,2,20,1687,0,0,0,0,4,0,0,27,700,26,0,0,17,17,19,9,0,3,0,1,0,0,0,0,0,4,0,10,1200,72,0,5,0,0,0,0
Kenneth Omeruo,2,20,1688,1,0,0,0,3,100,33,0,0,0,0,0,6,15,33,16,0,5,0,1,0,0,0,0,0,12,0,2,300,70,0,4,0,0,0,0
Clment Lenglet,2,19,1689,2,1,0,0,8,300,38,0,0,0,0,1,18,23,26,26,0,9,2,1,0,0,0,0,0,10,0,4,500,92,0,3,0,0,0,0
Rafinha Alcntara,3,23,1695,2,1,0,0,28,7,25,29,4,14,0,12,82,25,27,21,0,2,0,0,0,0,0,0,0,2,0,45,22,88,9,5,0,0,0,0
Bernardo Espinosa,2,19,1710,3,0,0,0,19,600,32,1,0,0,0,2,16,22,16,14,0,4,0,0,0,0,0,0,0,10,1,2,300,70,0,8,0,0,0,0
Youssef En Nesyri,4,26,1728,7,2,0,0,53,21,40,14,3,21,1,10,23,26,5,9,0,2,0,0,0,0,0,0,0,2,0,18,8,57,0,0,0,0,0,0
Joaqun nchez,3,27,1729,8,2,0,0,29,14,48,70,16,23,2,19,20,10,16,4,0,3,0,0,0,3,2,0,0,2,0,46,47,83,25,14,1,4,1,0
Roger Mart,4,27,1739,11,0,0,0,49,23,47,13,1,8,0,9,26,47,3,9,0,6,1,0,2,4,4,0,1,0,0,7,16,66,0,0,0,0,0,0
Natxo Monreal,2,20,1755,2,0,0,0,13,400,31,41,1100,27,0,11,11,26,31,11,0,1,0,0,0,0,0,0,0,4,0,7,1100,83,0,3,0,0,0,0
